2025-04-14 21:36:35,862 - ZucoExtractor - INFO - Found 32 .mat files
2025-04-14 21:36:35,895 - ZucoExtractor - INFO - Found 390 sentences in resultsYAG_TSR.mat
2025-04-14 21:36:35,925 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 80
2025-04-14 21:36:35,925 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 81
2025-04-14 21:36:35,926 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 82
2025-04-14 21:36:35,926 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 83
2025-04-14 21:36:35,926 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 84
2025-04-14 21:36:35,926 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 85
2025-04-14 21:36:35,926 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 86
2025-04-14 21:36:35,926 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 87
2025-04-14 21:36:35,927 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 88
2025-04-14 21:36:35,927 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 89
2025-04-14 21:36:35,927 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 90
2025-04-14 21:36:35,927 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 91
2025-04-14 21:36:35,927 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 92
2025-04-14 21:36:35,927 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 93
2025-04-14 21:36:35,927 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 94
2025-04-14 21:36:35,928 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 95
2025-04-14 21:36:35,928 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 96
2025-04-14 21:36:35,928 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 97
2025-04-14 21:36:35,928 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 98
2025-04-14 21:36:35,928 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 99
2025-04-14 21:36:35,928 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 100
2025-04-14 21:36:35,928 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 101
2025-04-14 21:36:35,929 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 102
2025-04-14 21:36:35,929 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 103
2025-04-14 21:36:35,929 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 104
2025-04-14 21:36:35,978 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 0
2025-04-14 21:36:35,978 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 1
2025-04-14 21:36:35,978 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 2
2025-04-14 21:36:35,979 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 3
2025-04-14 21:36:35,979 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 4
2025-04-14 21:36:35,979 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 5
2025-04-14 21:36:35,979 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 6
2025-04-14 21:36:35,979 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 7
2025-04-14 21:36:35,979 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 8
2025-04-14 21:36:35,979 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 9
2025-04-14 21:36:35,979 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 10
2025-04-14 21:36:35,980 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 11
2025-04-14 21:36:35,980 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 12
2025-04-14 21:36:35,980 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 13
2025-04-14 21:36:35,980 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 14
2025-04-14 21:36:35,980 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 15
2025-04-14 21:36:35,980 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 16
2025-04-14 21:36:35,980 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 17
2025-04-14 21:36:35,980 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 18
2025-04-14 21:36:35,980 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 19
2025-04-14 21:36:35,980 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 20
2025-04-14 21:36:35,981 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 21
2025-04-14 21:36:35,981 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 22
2025-04-14 21:36:35,981 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 23
2025-04-14 21:36:35,981 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 24
2025-04-14 21:36:35,981 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 25
2025-04-14 21:36:35,981 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 26
2025-04-14 21:36:35,981 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 27
2025-04-14 21:36:35,981 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 28
2025-04-14 21:36:35,981 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 29
2025-04-14 21:36:35,981 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 30
2025-04-14 21:36:35,982 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 31
2025-04-14 21:36:35,982 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 32
2025-04-14 21:36:35,982 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 33
2025-04-14 21:36:35,982 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 34
2025-04-14 21:36:35,982 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 35
2025-04-14 21:36:35,982 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 36
2025-04-14 21:36:35,982 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 37
2025-04-14 21:36:35,982 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 38
2025-04-14 21:36:35,982 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 39
2025-04-14 21:36:35,982 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 40
2025-04-14 21:36:35,983 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 41
2025-04-14 21:36:35,983 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 42
2025-04-14 21:36:35,983 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 43
2025-04-14 21:36:35,983 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 44
2025-04-14 21:36:35,983 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 45
2025-04-14 21:36:35,983 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 46
2025-04-14 21:36:35,983 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 47
2025-04-14 21:36:35,983 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 48
2025-04-14 21:36:35,984 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 49
2025-04-14 21:36:35,984 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 50
2025-04-14 21:36:35,984 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 51
2025-04-14 21:36:35,984 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 52
2025-04-14 21:36:35,984 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 53
2025-04-14 21:36:35,984 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 54
2025-04-14 21:36:35,984 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 55
2025-04-14 21:36:35,984 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 56
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 57
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 58
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 59
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 60
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 61
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 62
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 63
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 64
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 65
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 66
2025-04-14 21:36:35,985 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 67
2025-04-14 21:36:35,986 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 68
2025-04-14 21:36:35,986 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 69
2025-04-14 21:36:35,986 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 70
2025-04-14 21:36:35,986 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 71
2025-04-14 21:36:35,986 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 72
2025-04-14 21:36:35,986 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 73
2025-04-14 21:36:35,986 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 74
2025-04-14 21:36:35,986 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 75
2025-04-14 21:36:35,986 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 76
2025-04-14 21:36:35,986 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 77
2025-04-14 21:36:35,987 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 78
2025-04-14 21:36:35,987 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 79
2025-04-14 21:36:35,987 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 80
2025-04-14 21:36:35,987 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 81
2025-04-14 21:36:35,987 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 82
2025-04-14 21:36:35,987 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 83
2025-04-14 21:36:35,987 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 84
2025-04-14 21:36:35,987 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 85
2025-04-14 21:36:35,987 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 86
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 87
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 88
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 89
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 90
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 91
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 92
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 93
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 94
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 95
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 96
2025-04-14 21:36:35,988 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 97
2025-04-14 21:36:35,989 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 98
2025-04-14 21:36:35,989 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 99
2025-04-14 21:36:35,989 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 100
2025-04-14 21:36:35,989 - ZucoExtractor - WARNING - Non-reference word data in sentence 1, word 101
2025-04-14 21:36:36,027 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 0
2025-04-14 21:36:36,027 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 1
2025-04-14 21:36:36,027 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 2
2025-04-14 21:36:36,028 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 3
2025-04-14 21:36:36,028 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 4
2025-04-14 21:36:36,028 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 5
2025-04-14 21:36:36,028 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 6
2025-04-14 21:36:36,028 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 7
2025-04-14 21:36:36,028 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 8
2025-04-14 21:36:36,029 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 9
2025-04-14 21:36:36,029 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 10
2025-04-14 21:36:36,029 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 11
2025-04-14 21:36:36,029 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 12
2025-04-14 21:36:36,029 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 13
2025-04-14 21:36:36,029 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 14
2025-04-14 21:36:36,030 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 15
2025-04-14 21:36:36,030 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 16
2025-04-14 21:36:36,030 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 17
2025-04-14 21:36:36,030 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 18
2025-04-14 21:36:36,030 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 19
2025-04-14 21:36:36,030 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 20
2025-04-14 21:36:36,031 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 21
2025-04-14 21:36:36,031 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 22
2025-04-14 21:36:36,031 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 23
2025-04-14 21:36:36,031 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 24
2025-04-14 21:36:36,031 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 25
2025-04-14 21:36:36,031 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 26
2025-04-14 21:36:36,032 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 27
2025-04-14 21:36:36,032 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 28
2025-04-14 21:36:36,032 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 29
2025-04-14 21:36:36,032 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 30
2025-04-14 21:36:36,032 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 31
2025-04-14 21:36:36,032 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 32
2025-04-14 21:36:36,032 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 33
2025-04-14 21:36:36,033 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 34
2025-04-14 21:36:36,033 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 35
2025-04-14 21:36:36,033 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 36
2025-04-14 21:36:36,033 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 37
2025-04-14 21:36:36,033 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 38
2025-04-14 21:36:36,033 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 39
2025-04-14 21:36:36,033 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 40
2025-04-14 21:36:36,034 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 41
2025-04-14 21:36:36,034 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 42
2025-04-14 21:36:36,034 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 43
2025-04-14 21:36:36,034 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 44
2025-04-14 21:36:36,034 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 45
2025-04-14 21:36:36,034 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 46
2025-04-14 21:36:36,035 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 47
2025-04-14 21:36:36,035 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 48
2025-04-14 21:36:36,035 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 49
2025-04-14 21:36:36,035 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 50
2025-04-14 21:36:36,035 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 51
2025-04-14 21:36:36,035 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 52
2025-04-14 21:36:36,035 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 53
2025-04-14 21:36:36,036 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 54
2025-04-14 21:36:36,036 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 55
2025-04-14 21:36:36,036 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 56
2025-04-14 21:36:36,036 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 57
2025-04-14 21:36:36,036 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 58
2025-04-14 21:36:36,036 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 59
2025-04-14 21:36:36,036 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 60
2025-04-14 21:36:36,037 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 61
2025-04-14 21:36:36,037 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 62
2025-04-14 21:36:36,037 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 63
2025-04-14 21:36:36,037 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 64
2025-04-14 21:36:36,037 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 65
2025-04-14 21:36:36,037 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 66
2025-04-14 21:36:36,037 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 67
2025-04-14 21:36:36,037 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 68
2025-04-14 21:36:36,038 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 69
2025-04-14 21:36:36,038 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 70
2025-04-14 21:36:36,038 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 71
2025-04-14 21:36:36,038 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 72
2025-04-14 21:36:36,038 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 73
2025-04-14 21:36:36,039 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 74
2025-04-14 21:36:36,039 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 75
2025-04-14 21:36:36,039 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 76
2025-04-14 21:36:36,039 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 77
2025-04-14 21:36:36,039 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 78
2025-04-14 21:36:36,039 - ZucoExtractor - WARNING - Non-reference word data in sentence 2, word 79
